No,Line,Latitude,Longitude,Name,Description,Symbol
000029,000029,45.860385,-94.359326,Mississippi River Crossing 026,Mississippi River Crossing 026,Bridge
000030,000030,45.825621,-94.356534,Mississippi River Crossing 027,Mississippi River Crossing 027,Bridge
000031,000031,45.747860,-94.261744,Mississippi River Crossing 028,Mississippi River Crossing 028,Bridge
000032,000032,45.616075,-94.201383,Mississippi River Crossing 029,Mississippi River Crossing 029,Bridge
000033,000033,45.548942,-94.147246,Mississippi River Crossing 030,Mississippi River Crossing 030,Bridge
000034,000034,45.417462,-94.043447,Mississippi River Crossing 031,Mississippi River Crossing 031,Bridge
000035,000035,45.069595,-93.281444,Mississippi River Crossing 032,Mississippi River Crossing 032,Bridge
000036,000036,45.013209,-93.274569,Mississippi River Crossing 033,Mississippi River Crossing 033,Bridge
000037,000037,44.980753,-93.253487,Mississippi River Crossing 034,Mississippi River Crossing 034,Bridge
000038,000038,44.977672,-93.241204,Mississippi River Crossing 035,Mississippi River Crossing 035,Bridge
000039,000039,44.963702,-93.222826,Mississippi River Crossing 036,Mississippi River Crossing 036,Bridge
000040,000040,44.909060,-93.142420,Turn right onto River Crossing Regional Trail,Turn right onto River Crossing Regional Trail,Dot
000041,000041,44.904494,-93.138832,Mississippi River Crossing 037,Mississippi River Crossing 037,Bridge
000042,000042,44.901710,-93.135520,Keep right onto River Crossing Regional Trail,Keep right onto River Crossing Regional Trail,Dot
000043,000043,44.942166,-93.091013,Mississippi River Crossing 038,Mississippi River Crossing 038,Bridge
000044,000044,44.943854,-93.087372,Mississippi River Crossing 039,Mississippi River Crossing 039,Bridge
000045,000045,44.883247,-93.016105,Mississippi River Crossing 040,Mississippi River Crossing 040,Bridge
000046,000046,44.062830,-91.637075,Mississippi River Crossing 041,Mississippi River Crossing 041,Bridge
000047,000047,43.809037,-91.259689,Mississippi River Crossing 042,Mississippi River Crossing 042,Bridge
000048,000048,43.046893,-91.158712,Mississippi River Crossing 043,Mississippi River Crossing 043,Bridge
000049,000049,42.715782,-91.001987,Mississippi River Crossing 044,Mississippi River Crossing 044,Bridge
000050,000050,42.491663,-90.654278,Mississippi River Crossing 045,Mississippi River Crossing 045,Bridge
000051,000051,42.104061,-90.161156,Mississippi River Crossing 046,Mississippi River Crossing 046,Bridge
000052,000052,41.864733,-90.173201,Mississippi River Crossing 047,Mississippi River Crossing 047,Bridge
000053,000053,41.837830,-90.183277,Mississippi River Crossing  048,Mississippi River Crossing  048,Bridge
000054,000054,41.517993,-90.566242,Mississippi River Crossing  049,Mississippi River Crossing  049,Bridge
000055,000055,41.421396,-91.033216,Mississippi River Crossing 050,Mississippi River Crossing 050,Bridge
000056,000056,40.812164,-91.096691,Mississippi River Crossing 051,Mississippi River Crossing 051,Bridge
000057,000057,40.812082,-91.096719,Mississippi River Crossing 052,Mississippi River Crossing 052,Bridge
000058,000058,40.390146,-91.372942,Mississippi River Crossing 055,Mississippi River Crossing 055,Bridge
000059,000059,40.390079,-91.373039,Mississippi River Crossing 056,Mississippi River Crossing 056,Bridge
000060,000060,39.720322,-91.358243,Mississippi River Crossing 057,Mississippi River Crossing 057,Bridge
000061,000061,39.456684,-91.047340,Mississippi River Crossing  058,Mississippi River Crossing  058,Bridge
000062,000062,38.760301,-90.175601,Mississippi River Crossing 059,Mississippi River Crossing 059,Bridge
000063,000063,38.628906,-90.178759,Mississippi River Crossing 060,Mississippi River Crossing 060,Bridge
000064,000064,38.006922,-90.055993,Mississippi River Crossing 061,Mississippi River Crossing 061,Bridge
000065,000065,37.902780,-89.836674,Mississippi River Crossing No. 62,Mississippi River Crossing No. 62,Bridge
000066,000066,37.295312,-89.516279,Mississippi River Crossing 063,Mississippi River Crossing 063,Bridge
000067,000067,37.295201,-89.516322,Mississippi River Crossing 064,Mississippi River Crossing 064,Bridge
000068,000068,36.978177,-89.147518,Mississippi River Crossing 065,Mississippi River Crossing 065,Bridge
000069,000069,36.978215,-89.147511,Mississippi River Crossing 066,Mississippi River Crossing 066,Bridge
000070,000070,36.578296,-89.215350,Mississippi River Crossing 067,Mississippi River Crossing 067,Bridge
000071,000071,35.128649,-90.075148,Mississippi River Crossing 068,Mississippi River Crossing 068,Bridge
000072,000072,34.496570,-90.587492,Mississippi River Crossing 069,Mississippi River Crossing 069,Bridge
000073,000073,34.496549,-90.587469,Mississippi River Crossing 070,Mississippi River Crossing 070,Bridge
000074,000074,33.287387,-91.153860,Mississippi River Crossing 071,Mississippi River Crossing 071,Bridge
000075,000075,33.287272,-91.153803,Mississippi River Crossing 072,Mississippi River Crossing 072,Bridge
000076,000076,31.559144,-91.419438,Mississippi River Crossing 073,Mississippi River Crossing 073,Bridge
000077,000077,30.506864,-91.197221,Mississippi River Crossing 074,Mississippi River Crossing 074,Bridge
000078,000078,29.951190,-90.058782,Mississippi River Crossing 075,Mississippi River Crossing 075,Bridge
000079,000079,29.925247,-89.972109,Mississippi River Crossing 076,Mississippi River Crossing 076,Bridge
000080,000080,29.572913,-89.795372,Mississippi River Crossing 077,Mississippi River Crossing 077,Bridge
000081,000081,38.629660,-90.185830,Mississippi River Crossing 060,Mississippi River Crossing 060,Bridge
000082,000082,38.628600,-90.175900,Mississippi River Crossing 060,Mississippi River Crossing 060,Bridge
000083,000083,38.629285,-90.182202,Mississippi River Crossing 060,Mississippi River Crossing 060,Bridge
000084,000084,38.628486,-90.174914,Mississippi River Crossing 060,Mississippi River Crossing 060,Bridge
000133,000133,,,Eads Bridge,Eads Bridge Landmark,Bridge
000134,000134,,,=== Mississippi River Crossing ===,,Bridge
000135,000135,38.628906,-90.178759,Eads Bridge,Eads Bridge Landmark,Bridge
000140,000140,,,=== Mississippi River Crossing ===,,Bridge
000147,000147,,,=== Mississippi River Crossing ===,,Bridge
000148,000148,,,=== Mississippi River Crossing ===,,Bridge
000158,000158,,,=== Mississippi River Crossing ===,,Bridge
000159,000159,,,=== Mississippi River Crossing ===,,Bridge
000160,000160,,,=== Mississippi River Crossing ===,,Bridge
000171,000171,,,=== Mississippi River Crossing ===,,Bridge
000172,000172,,,=== Mississippi River Crossing ===,,Bridge
000173,000173,,,=== Mississippi River Crossing ===,,Bridge
000174,000174,,,=== Mississippi River Crossing ===,,Bridge
001186,001186,38.629660,-90.185830,Eads Bridge,Eads Bridge Landmark,Bridge
001187,001187,38.628600,-90.175900,Eads Bridge,Eads Bridge Landmark,Bridge
005884,005884,38.629285,-90.182202,Eads Bridge,Eads Bridge Landmark,Bridge
005897,005897,38.629610,-90.185440,Slight Left,Keep left onto Eads Bridge,Dot
005923,005923,38.628486,-90.174914,Eads Bridge,Eads Bridge Landmark,Bridge
,,,,=== Mississippi River Crossing - Ferry ===,,
,,,,=== Overnight - Accommodation ===,,
000220,000220,,,=== Overnight ===,,Dot
000221,000221,,,=== Overnight ===,,Dot
000222,000222,,,=== Overnight ===,,Dot
000223,000223,,,=== Overnight ===,,Dot
000896,000896,,,=== Overnight ===,,Dot
000958,000958,,,=== Overnight ===,,Dot
,,,,=== Overnight - Camping ===,,
000224,000224,47.015880,-93.294980,Turn left onto Jacobson Campground Rd,Turn left onto Jacobson Campground Rd,Dot
000225,000225,47.023260,-93.276700,Turn left to stay on Jacobson Campground Rd,Turn left to stay on Jacobson Campground Rd,Dot
000226,000226,47.019700,-93.275410,Turn right to stay on Jacobson Campground Rd,Turn right to stay on Jacobson Campground Rd,Dot
000227,000227,40.644695,-91.143470,Camp Creek,Camp Creek,Campground
000899,000899,42.182217,-90.355963,Sugar Camp Hollow to Right,Sugar Camp Hollow to Right,Dot
000961,000961,41.538145,-90.425832,Campbells Island Bridge,Campbells Island Bridge,City
,,,,=== Control - Start Day ## ===,,
000090,000090,47.380625,-94.591592,Control,Start Day 02,Flag
000091,000091,47.335872,-93.800486,Control,Start Day 03,Flag
000092,000092,47.023259,-93.276700,Control,Start Day 04,Flag
000093,000093,46.541685,-93.712353,Control,Start Day 05,Flag
000094,000094,46.281588,-94.329144,Control,Start Day 06,Flag
000095,000095,45.559250,-94.156476,Control,Start Day 07,Flag
000096,000096,45.189751,-93.398291,Control,Start Day 08,Flag
000097,000097,44.817568,-92.932024,Control,Start Day 09,Flag
000098,000098,44.579378,-92.456383,Control,Start Day 10,Flag
000099,000099,44.053050,-91.642757,Control,Start Day 11,Flag
000100,000100,43.807685,-91.253826,Control,Start Day 12,Flag
000101,000101,43.050350,-91.149294,Control,Start Day 13,Flag
000102,000102,42.713668,-90.992396,Control,Start Day 14,Flag
000103,000103,41.863711,-90.165741,Control,Start Day 16,Flag
000104,000104,41.517975,-90.582937,Control,Start Day 17,Flag
000105,000105,41.051596,-90.934768,Control,Start Day 18,Flag
000106,000106,40.543025,-91.386659,Control,Start Day 19,Flag
000107,000107,39.454868,-91.051424,Control,Start Day 21,Flag
000108,000108,39.295957,-90.609808,Control,Start Day 22,Flag
000109,000109,38.886873,-90.178224,Control,Start Day 23,Flag
000110,000110,38.462898,-90.220639,Control,Start Day 24,Flag
000111,000111,37.979077,-90.043014,Control,Start Day 25,Flag
000112,000112,37.638869,-89.510907,Control,Start Day 27,Flag
000113,000113,37.297503,-89.520534,Control,Start Day 28,Flag
000114,000114,36.760111,-89.104370,Control,Start Day 29,Flag
000115,000115,36.519035,-89.612238,Control,Start Day 30,Flag
000116,000116,36.187482,-89.658378,Control,Start Day 31,Flag
000117,000117,35.704981,-89.964011,Control,Start Day 31,Flag
000118,000118,35.128251,-90.061874,Control,Start Day 32,Flag
000119,000119,34.689151,-90.383102,Control,Start Day 33,Flag
000120,000120,34.202472,-90.575859,Control,Start Day 34,Flag
000121,000121,33.402383,-91.065009,Control,Start Day 34,Flag
000122,000122,32.902034,-91.049286,Control,Start Day 35,Flag
000123,000123,32.521214,-91.006066,Control,Start Day 36,Flag
000124,000124,32.030023,-91.053776,Control,Start Day 37,Flag
000125,000125,31.561537,-91.405258,Control,Start Day 38,Flag
000126,000126,30.979714,-91.807339,Control,Start Day 39,Flag
000127,000127,30.686938,-91.453116,Control,Start Day 40,Flag
000128,000128,30.038369,-90.693832,Control,Start Day 42,Flag
000129,000129,29.950870,-90.065969,Control,Start Day 43,Flag
000130,000130,29.864501,-89.900273,Control,Start Day 44,Flag
000142,000142,,,=== Control - Start Day ===,,Flag
000149,000149,,,=== Control - Start Day ===,,Flag
000151,000151,,,=== Control - Start Day ===,,Flag
000161,000161,,,=== Control - Start Day ===,,Flag
000162,000162,,,=== Control - Start Day ===,,Flag
000164,000164,,,=== Control - Start Day ===,,Flag
000175,000175,,,=== Control - Start Day ===,,Flag
000176,000176,,,=== Control - Start Day ===,,Flag
000177,000177,,,=== Control - Start Day ===,,Flag
000179,000179,,,=== Control - Start Day ===,,Flag
000188,000188,,,=== Control - Start Day ===,,Flag
000189,000189,,,=== Control - Start Day ===,,Flag
000190,000190,,,=== Control - Start Day ===,,Flag
000228,000228,,,=== Control - Start Day ===,,Flag
000229,000229,,,=== Control - Start Day ===,,Flag
000230,000230,,,=== Control - Start Day ===,,Flag
000654,000654,,,=== Control - Start Day ===,,Flag
000655,000655,,,=== Control - Start Day ===,,Flag
000656,000656,,,=== Control - Start Day ===,,Flag
000746,000746,,,=== Control - Start Day ===,,Flag
000747,000747,,,=== Control - Start Day ===,,Flag
000748,000748,,,=== Control - Start Day ===,,Flag
000842,000842,,,=== Control - Start Day ===,,Flag
000843,000843,,,=== Control - Start Day ===,,Flag
000844,000844,,,=== Control - Start Day ===,,Flag
000974,000974,,,=== Control - Start Day ===,,Flag
000975,000975,,,=== Control - Start Day ===,,Flag
000976,000976,,,=== Control - Start Day ===,,Flag
000991,000991,,,=== Control - Start Day ===,,Flag
000992,000992,,,=== Control - Start Day ===,,Flag
000993,000993,,,=== Control - Start Day ===,,Flag
001323,001323,,,=== Control - Start Day ===,,Flag
001324,001324,,,=== Control - Start Day ===,,Flag
001325,001325,,,=== Control - Start Day ===,,Flag
001429,001429,,,=== Control - Start Day ===,,Flag
001430,001430,,,=== Control - Start Day ===,,Flag
001431,001431,,,=== Control - Start Day ===,,Flag
001466,001466,,,=== Control - Start Day ===,,Flag
001467,001467,,,=== Control - Start Day ===,,Flag
001468,001468,,,=== Control - Start Day ===,,Flag
001512,001512,,,=== Control - Start Day ===,,Flag
001513,001513,,,=== Control - Start Day ===,,Flag
001514,001514,,,=== Control - Start Day ===,,Flag
001529,001529,,,=== Control - Start Day ===,,Flag
001530,001530,,,=== Control - Start Day ===,,Flag
001531,001531,,,=== Control - Start Day ===,,Flag
001689,001689,,,=== Control - Start Day ===,,Flag
001690,001690,,,=== Control - Start Day ===,,Flag
001691,001691,,,=== Control - Start Day ===,,Flag
001812,001812,,,=== Control - Start Day ===,,Flag
001813,001813,,,=== Control - Start Day ===,,Flag
001814,001814,,,=== Control - Start Day ===,,Flag
001834,001834,,,=== Control - Start Day ===,,Flag
001835,001835,,,=== Control - Start Day ===,,Flag
001836,001836,,,=== Control - Start Day ===,,Flag
003818,003818,,,=== Control - Start Day ===,,Flag
003819,003819,,,=== Control - Start Day ===,,Flag
003820,003820,,,=== Control - Start Day ===,,Flag
004005,004005,,,=== Control - Start Day ===,,Flag
004006,004006,,,=== Control - Start Day ===,,Flag
004007,004007,,,=== Control - Start Day ===,,Flag
004153,004153,,,=== Control - Start Day ===,,Flag
004154,004154,,,=== Control - Start Day ===,,Flag
004155,004155,,,=== Control - Start Day ===,,Flag
004186,004186,,,=== Control - Start Day ===,,Flag
004187,004187,,,=== Control - Start Day ===,,Flag
004188,004188,,,=== Control - Start Day ===,,Flag
005827,005827,,,=== Control - Start Day ===,,Flag
005828,005828,,,=== Control - Start Day ===,,Flag
005829,005829,,,=== Control - Start Day ===,,Flag
005898,005898,,,=== Control - Start Day ===,,Flag
005899,005899,,,=== Control - Start Day ===,,Flag
005900,005900,,,=== Control - Start Day ===,,Flag
006157,006157,,,=== Control - Start Day ===,,Flag
006158,006158,,,=== Control - Start Day ===,,Flag
006159,006159,,,=== Control - Start Day ===,,Flag
006211,006211,,,=== Control - Start Day ===,,Flag
006212,006212,,,=== Control - Start Day ===,,Flag
006213,006213,,,=== Control - Start Day ===,,Flag
006252,006252,,,=== Control - Start Day ===,,Flag
006253,006253,,,=== Control - Start Day ===,,Flag
006254,006254,,,=== Control - Start Day ===,,Flag
006451,006451,,,=== Control - Start Day ===,,Flag
006452,006452,,,=== Control - Start Day ===,,Flag
006453,006453,,,=== Control - Start Day ===,,Flag
006484,006484,,,=== Control - Start Day ===,,Flag
006485,006485,,,=== Control - Start Day ===,,Flag
006486,006486,,,=== Control - Start Day ===,,Flag
006619,006619,,,=== Control - Start Day ===,,Flag
006620,006620,,,=== Control - Start Day ===,,Flag
006621,006621,,,=== Control - Start Day ===,,Flag
006636,006636,,,=== Control - Start Day ===,,Flag
006637,006637,,,=== Control - Start Day ===,,Flag
006638,006638,,,=== Control - Start Day ===,,Flag
006663,006663,,,=== Control - Start Day ===,,Flag
006664,006664,,,=== Control - Start Day ===,,Flag
006665,006665,,,=== Control - Start Day ===,,Flag
006863,006863,,,=== Control - Start Day ===,,Flag
006864,006864,,,=== Control - Start Day ===,,Flag
006865,006865,,,=== Control - Start Day ===,,Flag
007201,007201,,,=== Control - Start Day ===,,Flag
007202,007202,,,=== Control - Start Day ===,,Flag
007203,007203,,,=== Control - Start Day ===,,Flag
007367,007367,,,=== Control - Start Day ===,,Flag
007368,007368,,,=== Control - Start Day ===,,Flag
007369,007369,,,=== Control - Start Day ===,,Flag
,,,,=== Control - Cardinal Extreme ===,,
000086,000086,47.49514000,-94.83154000,Northernmost point on the full Mississippi River Ride track on the full Mississippi River Ride track,Northernmost point on the full Mississippi River Ride track on the full Mississippi River Ride track,Flag
000087,000087,36.65035000,-89.02560000,Easternmost point on the full Mississippi River Ride track on the full Mississippi River Ride track,Easternmost point on the full Mississippi River Ride track on the full Mississippi River Ride track,Flag
000088,000088,47.34023000,-95.22551000,Westernmost point on the full Mississippi River Ride track on the full Mississippi River Ride track,Westernmost point on the full Mississippi River Ride track on the full Mississippi River Ride track,Flag
000089,000089,29.23141000,-89.39012000,Southernmost point on the full Mississippi River Ride track on the full Mississippi River Ride track,Southernmost point on the full Mississippi River Ride track on the full Mississippi River Ride track,Flag
,,,,=== Control - State Boundary ===,,
000191,000191,,,=== Control - State Boundary ===,,City
000192,000192,,,=== Control - State Boundary ===,,City
000193,000193,,,=== Control - State Boundary ===,,City
000194,000194,,,=== Control - State Boundary ===,,City
000195,000195,44.062830,-91.637075,Leave WI,Leave WI,Flag
000196,000196,44.062830,-91.637075,Enter MN,Enter MN,Flag
000197,000197,43.046893,-91.158712,Leave WI,Leave WI,Flag
000198,000198,43.046893,-91.158712,Enter IA,Enter IA,Flag
000199,000199,42.104061,-90.161156,Leave IA,Leave IA,Flag
000200,000200,42.104061,-90.161156,Enter IL,Enter IL,Flag
000201,000201,41.864733,-90.173201,Leave IL,Leave IL,Flag
000202,000202,41.864733,-90.173201,Enter IA,Enter IA,Flag
000203,000203,41.837830,-90.183277,Leave IA,Leave IA,Flag
000204,000204,41.837830,-90.183277,Enter IL,Enter IL,Flag
000205,000205,41.517993,-90.566242,Leave IL,Leave IL,Flag
000206,000206,41.517993,-90.566242,Enter IA,Enter IA,Flag
000207,000207,41.421396,-91.033216,Leave IA,Leave IA,Flag
000208,000208,41.421396,-91.033216,Enter IL,Enter IL,Flag
000209,000209,40.812164,-91.096691,Leave IL,Leave IL,Flag
000210,000210,40.812164,-91.096691,Enter IA,Enter IA,Flag
000211,000211,40.812082,-91.096719,Leave IA,Leave IA,Flag
000212,000212,40.812082,-91.096719,Enter IL,Enter IL,Flag
000213,000213,39.720322,-91.358243,Leave IL,Leave IL,Flag
000214,000214,39.720322,-91.358243,Enter MO,Enter MO,Flag
000215,000215,39.456684,-91.047340,Leave MO,Leave MO,Flag
000216,000216,39.456684,-91.047340,Enter IL,Enter IL,Flag
000231,000231,,,=== Control - State Boundary ===,,City
000232,000232,,,=== Control - State Boundary ===,,City
000233,000233,,,=== Control - State Boundary ===,,City
000234,000234,,,=== Control - State Boundary ===,,City
000235,000235,47.250030,-95.212240,Mary Gibbs Mississippi Headwaters Center,Mary Gibbs Mississippi Headwaters Center / Visitor Center at Itasca State Park,Flag
000657,000657,,,=== Control - State Boundary ===,,City
000658,000658,,,=== Control - State Boundary ===,,City
000659,000659,,,=== Control - State Boundary ===,,City
000660,000660,,,=== Control - State Boundary ===,,City
000661,000661,44.748875,-92.804668,Leave MN,Leave MN,Flag
000662,000662,44.748875,-92.804668,Enter WI,Enter WI,Flag
000749,000749,,,=== Control - State Boundary ===,,City
000750,000750,,,=== Control - State Boundary ===,,City
000751,000751,,,=== Control - State Boundary ===,,City
000752,000752,,,=== Control - State Boundary ===,,City
000753,000753,43.818719,-91.273105,Leave MN,Leave MN,Flag
000754,000754,43.818719,-91.273105,Enter WI,Enter WI,Flag
000845,000845,,,=== Control - State Boundary ===,,City
000846,000846,,,=== Control - State Boundary ===,,City
000847,000847,,,=== Control - State Boundary ===,,City
000848,000848,,,=== Control - State Boundary ===,,City
000849,000849,42.703909,-90.944100,Enter Dark Hollow,Enter Dark Hollow,Flag
000977,000977,,,=== Control - State Boundary ===,,City
000978,000978,,,=== Control - State Boundary ===,,City
000979,000979,,,=== Control - State Boundary ===,,City
000980,000980,,,=== Control - State Boundary ===,,City
000981,000981,41.511416,-90.519328,Enter Rock Island Army Arsenal,Enter Rock Island Army Arsenal,Flag
000994,000994,,,=== Control - State Boundary ===,,City
000995,000995,,,=== Control - State Boundary ===,,City
000996,000996,,,=== Control - State Boundary ===,,City
000997,000997,,,=== Control - State Boundary ===,,City
000998,000998,41.517159,-90.565680,Leave Rock Island Army Arsenal,Leave Rock Island Army Arsenal,Flag
001326,001326,,,=== Control - State Boundary ===,,City
001327,001327,,,=== Control - State Boundary ===,,City
001328,001328,,,=== Control - State Boundary ===,,City
001329,001329,,,=== Control - State Boundary ===,,City
001330,001330,36.000699,-89.743240,Leave MO,Leave MO,Flag
001331,001331,36.000699,-89.743240,Enter AR,Enter AR,Flag
001432,001432,,,=== Control - State Boundary ===,,City
001433,001433,,,=== Control - State Boundary ===,,City
001434,001434,,,=== Control - State Boundary ===,,City
001435,001435,,,=== Control - State Boundary ===,,City
001436,001436,35.127989,-90.074314,Leave AR,Leave AR,Flag
001437,001437,35.127989,-90.074314,Enter TN,Enter TN,Flag
001469,001469,,,=== Control - State Boundary ===,,City
001470,001470,,,=== Control - State Boundary ===,,City
001471,001471,,,=== Control - State Boundary ===,,City
001472,001472,,,=== Control - State Boundary ===,,City
001473,001473,34.994695,-90.127500,Leave TN,Leave TN,Flag
001474,001474,34.994695,-90.127500,Enter MS,Enter MS,Flag
001515,001515,,,=== Control - State Boundary ===,,City
001516,001516,,,=== Control - State Boundary ===,,City
001517,001517,,,=== Control - State Boundary ===,,City
001518,001518,,,=== Control - State Boundary ===,,City
001519,001519,34.496565,-90.587453,Leave MS,Leave MS,Flag
001520,001520,34.496565,-90.587453,Enter AR,Enter AR,Flag
001532,001532,,,=== Control - State Boundary ===,,City
001533,001533,,,=== Control - State Boundary ===,,City
001534,001534,,,=== Control - State Boundary ===,,City
001535,001535,,,=== Control - State Boundary ===,,City
001536,001536,34.496548,-90.587465,Leave AR,Leave AR,Flag
001537,001537,34.496548,-90.587465,Enter MS,Enter MS,Flag
001692,001692,,,=== Control - State Boundary ===,,City
001693,001693,,,=== Control - State Boundary ===,,City
001694,001694,,,=== Control - State Boundary ===,,City
001695,001695,,,=== Control - State Boundary ===,,City
001696,001696,33.297106,-91.140336,Leave MS,Leave MS,Flag
001697,001697,33.297106,-91.140336,Enter AR,Enter AR,Flag
001815,001815,,,=== Control - State Boundary ===,,City
001816,001816,,,=== Control - State Boundary ===,,City
001817,001817,,,=== Control - State Boundary ===,,City
001818,001818,,,=== Control - State Boundary ===,,City
001819,001819,31.684564,-91.186701,Natchez Trace Parkway Mt. Locust Visitor Center to Right,Natchez Trace Parkway Mt. Locust Visitor Center to Right,Dot
001837,001837,,,=== Control - State Boundary ===,,City
001838,001838,,,=== Control - State Boundary ===,,City
001839,001839,,,=== Control - State Boundary ===,,City
001840,001840,,,=== Control - State Boundary ===,,City
001841,001841,31.559186,-91.419483,Leave MS,Leave MS,Flag
001842,001842,31.559186,-91.419483,Enter LA,Enter LA,Flag
003076,003076,44.742860,-92.790890,Great River Road Visitor Center,Great River Road Visitor Center,Dot
003821,003821,,,=== Control - State Boundary ===,,City
003822,003822,,,=== Control - State Boundary ===,,City
003823,003823,,,=== Control - State Boundary ===,,City
003824,003824,,,=== Control - State Boundary ===,,City
003825,003825,43.044011,-91.175458,Leave WI,Leave WI,Flag
003826,003826,43.044011,-91.175458,Enter IA,Enter IA,Flag
004008,004008,,,=== Control - State Boundary ===,,City
004009,004009,,,=== Control - State Boundary ===,,City
004010,004010,,,=== Control - State Boundary ===,,City
004011,004011,,,=== Control - State Boundary ===,,City
004012,004012,42.713090,-90.994705,Leave IA,Leave IA,Flag
004013,004013,42.713090,-90.994705,Enter WI,Enter WI,Flag
004156,004156,,,=== Control - State Boundary ===,,City
004157,004157,,,=== Control - State Boundary ===,,City
004158,004158,,,=== Control - State Boundary ===,,City
004159,004159,,,=== Control - State Boundary ===,,City
004160,004160,42.508014,-90.609812,Leave WI,Leave WI,Flag
004161,004161,42.508014,-90.609812,Enter IL,Enter IL,Flag
004189,004189,,,=== Control - State Boundary ===,,City
004190,004190,,,=== Control - State Boundary ===,,City
004191,004191,,,=== Control - State Boundary ===,,City
004192,004192,,,=== Control - State Boundary ===,,City
004193,004193,42.491622,-90.656110,Leave IL,Leave IL,Flag
004194,004194,42.491622,-90.656110,Enter IA,Enter IA,Flag
005830,005830,,,=== Control - State Boundary ===,,City
005831,005831,,,=== Control - State Boundary ===,,City
005832,005832,,,=== Control - State Boundary ===,,City
005833,005833,,,=== Control - State Boundary ===,,City
005834,005834,38.759435,-90.172681,Leave IL,Leave IL,Flag
005835,005835,38.759435,-90.172681,Enter MO,Enter MO,Flag
005901,005901,,,=== Control - State Boundary ===,,City
005902,005902,,,=== Control - State Boundary ===,,City
005903,005903,,,=== Control - State Boundary ===,,City
005904,005904,,,=== Control - State Boundary ===,,City
005905,005905,38.628893,-90.178628,Leave MO,Leave MO,Flag
005906,005906,38.628893,-90.178628,Enter IL,Enter IL,Flag
006160,006160,,,=== Control - State Boundary ===,,City
006161,006161,,,=== Control - State Boundary ===,,City
006162,006162,,,=== Control - State Boundary ===,,City
006163,006163,,,=== Control - State Boundary ===,,City
006164,006164,38.007143,-90.055867,Leave IL,Leave IL,Flag
006165,006165,38.007143,-90.055867,Enter MO,Enter MO,Flag
006214,006214,,,=== Control - State Boundary ===,,City
006215,006215,,,=== Control - State Boundary ===,,City
006216,006216,,,=== Control - State Boundary ===,,City
006217,006217,,,=== Control - State Boundary ===,,City
006218,006218,37.880032,-89.947978,Leave MO,Leave MO,Flag
